COUNT(alarms),MAX(alarms.IND_DURATION),MIN(alarms.IND_DURATION),SUM(alarms.IND_DURATION),COUNT(stoppages),MAX(stoppages.COD_WO),MAX(stoppages.IND_DURATION),MAX(stoppages.IND_LOST_GEN),MIN(stoppages.COD_WO),MIN(stoppages.IND_DURATION),MIN(stoppages.IND_LOST_GEN),SUM(stoppages.COD_WO),SUM(stoppages.IND_DURATION),SUM(stoppages.IND_LOST_GEN),COUNT(scada),MAX(scada.val1),MAX(scada.val2),MIN(scada.val1),MIN(scada.val2),SUM(scada.val1),SUM(scada.val2),MAX(stoppages.NUM_WORDS(DES_COMMENTS)),MAX(stoppages.NUM_WORDS(DES_DESCRIPTION)),MAX(stoppages.NUM_WORDS(DES_WO_NAME)),MIN(stoppages.NUM_WORDS(DES_COMMENTS)),MIN(stoppages.NUM_WORDS(DES_DESCRIPTION)),MIN(stoppages.NUM_WORDS(DES_WO_NAME)),SUM(stoppages.NUM_WORDS(DES_COMMENTS)),SUM(stoppages.NUM_WORDS(DES_DESCRIPTION)),SUM(stoppages.NUM_WORDS(DES_WO_NAME)),label,TURBINE_PI_ID_TA00,TURBINE_PI_ID_TA01,TURBINE_PI_ID_TA02,TURBINE_PI_ID_TA03,TURBINE_PI_ID_TA04,TURBINE_PI_ID_TA05,TURBINE_PI_ID_TA06,TURBINE_PI_ID_TA07,TURBINE_PI_ID_TA08,TURBINE_PI_ID_TA09,TURBINE_PI_ID_TA10,TURBINE_PI_ID_TA11,TURBINE_PI_ID_TA12,TURBINE_PI_ID_TA13,TURBINE_PI_ID_TA14,TURBINE_PI_ID_TA15,TURBINE_LOCAL_ID_A0,TURBINE_LOCAL_ID_A1,TURBINE_LOCAL_ID_A10,TURBINE_LOCAL_ID_A11,TURBINE_LOCAL_ID_A12,TURBINE_LOCAL_ID_A13,TURBINE_LOCAL_ID_A14,TURBINE_LOCAL_ID_A15,TURBINE_LOCAL_ID_A2,TURBINE_LOCAL_ID_A3,TURBINE_LOCAL_ID_A4,TURBINE_LOCAL_ID_A5,TURBINE_LOCAL_ID_A6,TURBINE_LOCAL_ID_A7,TURBINE_LOCAL_ID_A8,TURBINE_LOCAL_ID_A9,TURBINE_SAP_COD_LOC000,TURBINE_SAP_COD_LOC001,TURBINE_SAP_COD_LOC002,TURBINE_SAP_COD_LOC003,TURBINE_SAP_COD_LOC004,TURBINE_SAP_COD_LOC005,TURBINE_SAP_COD_LOC006,TURBINE_SAP_COD_LOC007,TURBINE_SAP_COD_LOC008,TURBINE_SAP_COD_LOC009,TURBINE_SAP_COD_LOC010,TURBINE_SAP_COD_LOC011,TURBINE_SAP_COD_LOC012,TURBINE_SAP_COD_LOC013,TURBINE_SAP_COD_LOC014,TURBINE_SAP_COD_LOC015,DES_CORE_ELEMENT_T00,DES_CORE_ELEMENT_T01,DES_CORE_ELEMENT_T02,DES_CORE_ELEMENT_T03,DES_CORE_ELEMENT_T04,DES_CORE_ELEMENT_T05,DES_CORE_ELEMENT_T06,DES_CORE_ELEMENT_T07,DES_CORE_ELEMENT_T08,DES_CORE_ELEMENT_T09,DES_CORE_ELEMENT_T10,DES_CORE_ELEMENT_T11,DES_CORE_ELEMENT_T12,DES_CORE_ELEMENT_T13,DES_CORE_ELEMENT_T14,DES_CORE_ELEMENT_T15,SITE_LOCATION,DES_CORE_PLANT_LOC,COD_PLANT_SAP_ABC,COD_PLANT_SAP_XYZ,PI_COLLECTOR_SITE_NAME_LOC0,PI_LOCAL_SITE_NAME_LOC0
1,,,0.0,1,12345.0,,,12345.0,,,12345.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,,,0.0,1,37452.0,,,37452.0,,,37452.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,,,0.0,1,23432.0,,,23432.0,,,23432.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,,,0.0,1,12452.0,,,12452.0,,,12452.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,,,0.0,1,32435.0,,,32435.0,,,32435.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,,,0.0,1,23534.0,,,23534.0,,,23534.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,,,0.0,1,65431.0,,,65431.0,,,65431.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,,,0.0,1,35742.0,,,35742.0,,,35742.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
0,,,0.0,1,21343.0,,,21343.0,,,21343.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1
0,,,0.0,1,43565.0,,,43565.0,,,43565.0,0.0,0.0,0,,,,,0.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1
